username,like_count,timestamp
GovDunleavy,52K,2025-12-09 08:12:12
DunleavyGovernor,15K,2025-12-09 08:12:20
KayIveyAL,211K,2025-12-09 08:12:28
SarahHuckabeeSanders,480K,2025-12-09 08:12:36
GovernorHobbs,22K,2025-12-09 08:12:44
CAgovernor,1.1M,2025-12-09 08:12:51
jaredpolis,245K,2025-12-09 08:12:59
GovNedLamont,68K,2025-12-09 08:13:07
Meyer4DE,20K,2025-12-09 08:13:14
GovRonDeSantis,1M,2025-12-09 08:13:22
GovKemp,201K,2025-12-09 08:13:29
GovJoshGreen,46K,2025-12-09 08:13:36
IAGovernor,148K,2025-12-09 08:13:44
KimReynoldsIA,108K,2025-12-09 08:13:51
governorbradlittle,64K,2025-12-09 08:13:59
GovPritzker,511K,2025-12-09 08:14:07
SenatorBraun,,2025-12-09 08:14:16
GovLauraKelly,87K,2025-12-09 08:14:23
GovAndyBeshear,502K,2025-12-09 08:14:31
GovJeffLandry,67K,2025-12-09 08:14:39
MAGovernor,95K,2025-12-09 08:14:47
govwesmoore,84K,2025-12-09 08:14:55
GovernorJanetMills,42K,2025-12-09 08:15:02
GovGretchenWhitmer,473K,2025-12-09 08:15:10
GovTimWalz,640K,2025-12-09 08:15:19
MoLtGovMikeKehoe,,2025-12-09 08:15:28
tatereeves,290K,2025-12-09 08:15:35
GovGianforte,53K,2025-12-09 08:15:43
NC_Governor,,2025-12-09 08:15:52
RepArmstrongND,,2025-12-09 08:16:01
KellyAyotteForNH,53K,2025-12-09 08:16:09
governorphilmurphy,521K,2025-12-09 08:16:17
GovMLG,144K,2025-12-09 08:16:25
govkathyhochul,257K,2025-12-09 08:16:33
GovMikeDeWine,277K,2025-12-09 08:16:41
GovStitt,176K,2025-12-09 08:16:48
GovTinaKotek,36K,2025-12-09 08:16:56
governorshapiro,584K,2025-12-09 08:17:04
GovDanMckee,26K,2025-12-09 08:17:12
HenryMcMaster,184K,2025-12-09 08:17:19
lgrhoden,,2025-12-09 08:17:28
GovBillLee,148K,2025-12-09 08:17:35
TexasGovernor,507K,2025-12-09 08:17:43
govcox,48K,2025-12-09 08:17:50
GlennYoungkin,134K,2025-12-09 08:17:58
governorva,69K,2025-12-09 08:18:06
WaStateGov,301K,2025-12-09 08:18:13
GovernorTonyEvers,139K,2025-12-09 08:18:20
WVGovernor,18K,2025-12-09 08:18:28
governormarkgordon,32K,2025-12-09 08:18:35
RepNickBegich,1.8K,2025-12-09 08:18:43
RepBarryMoore,18K,2025-12-09 08:18:50
repdalestrong,10K,2025-12-09 08:18:58
CongressmanGaryPalmer,14K,2025-12-09 08:19:05
RobertAderholt,36K,2025-12-09 08:19:13
repscfigures,7K,2025-12-09 08:19:21
RepSewell,80K,2025-12-09 08:19:29
RepWesterman,17K,2025-12-09 08:19:36
RepFrenchHill,21K,2025-12-09 08:19:44
aumuaamata,12K,2025-12-09 08:19:52
RepAbeHamadeh,3.3K,2025-12-09 08:20:00
repadelitasgrijalva,12K,2025-12-09 08:20:09
RepAndyBiggs,68K,2025-12-09 08:20:16
repdavidschweikert,13K,2025-12-09 08:20:24
repgregstanton,48K,2025-12-09 08:20:32
repciscomani,5.8K,2025-12-09 08:20:39
juanciscomani,2.1K,2025-12-09 08:20:47
repyassansari,26K,2025-12-09 08:20:55
repadamgrayca,670,2025-12-09 08:21:02
congressmandarrellissa,5K,2025-12-09 08:21:10
CongressmanDavidValadao,18K,2025-12-09 08:21:18
doris.matsui,26K,2025-12-09 08:21:26
RepLaMalfa,33K,2025-12-09 08:21:34
CongressmanEricSwalwell,61K,2025-12-09 08:21:42
RepWhitesides,2.7K,2025-12-09 08:21:50
RepGilCisneros,9.1K,2025-12-09 08:21:58
RepHuffman,30K,2025-12-09 08:22:06
RepJimCosta,13K,2025-12-09 08:22:13
RepJimmyGomez,71K,2025-12-09 08:22:21
jimmygomezca,11K,2025-12-09 08:22:29
RepJimmyPanetta,18K,2025-12-09 08:22:37
RepLouCorrea,29K,2025-12-09 08:22:45
repgaramendi,56K,2025-12-09 08:22:52
RepJoshHarder,31K,2025-12-09 08:23:00
RepJuanVargas,12K,2025-12-09 08:23:08
RepJudyChu,31K,2025-12-09 08:23:16
RepJuliaBrownley,61,2025-12-09 08:23:24
RepBrownley,25K,2025-12-09 08:23:32
RepKenCalvert,14K,2025-12-09 08:23:40
CongressmanKevinMullin,8.7K,2025-12-09 08:23:48
replsimon,12K,2025-12-09 08:23:56
RepLauraFriedman,,2025-12-09 08:24:31
RepLindaSanchez,23K,2025-12-09 08:24:40
congresswomanluzrivas,1.1K,2025-12-09 08:24:49
RepMarkDeSaulnier,25K,2025-12-09 08:24:57
RepMarkTakano,94K,2025-12-09 08:25:05
MaxineWaters,366K,2025-12-09 08:25:13
RepMikeLevin,19K,2025-12-09 08:25:21
RepMikeThompson,56K,2025-12-09 08:25:28
NancyPelosi,1.2M,2025-12-09 08:25:36
RepNormaTorres,40K,2025-12-09 08:25:44
reppeteaguilar,16K,2025-12-09 08:25:52
RepRaulRuizMD,40K,2025-12-09 08:26:00
reprobertgarcia,78K,2025-12-09 08:26:07
RepRoKhanna,36K,2025-12-09 08:26:15
repsaludcarbajal,31K,2025-12-09 08:26:24
repliccardo,,2025-12-09 08:27:00
RepSaraJacobs,17K,2025-12-09 08:27:09
RepScottPeters,27K,2025-12-09 08:27:17
RepKamlagerDove,11K,2025-12-09 08:27:26
RepTedLieu,297K,2025-12-09 08:27:34
RepMcClintock,36K,2025-12-09 08:27:43
RepVinceFong,1.9K,2025-12-09 08:27:50
RepYoungKim,19K,2025-12-09 08:27:58
ZoeLofgren,21K,2025-12-09 08:28:06
RepBrittanyPettersen,11K,2025-12-09 08:28:16
RepDianaDeGette,39K,2025-12-09 08:28:24
RepGabeEvans,4.6K,2025-12-09 08:28:31
RepJasonCrow,84K,2025-12-09 08:28:39
RepJeffCrank,876,2025-12-09 08:28:47
RepJeffHurd,4K,2025-12-09 08:28:54
RepJoeNeguse,56K,2025-12-09 08:29:02
RepBoebert,223K,2025-12-09 08:29:09
RepJahanaHayes,42K,2025-12-09 08:29:19
RepJimHimes,55K,2025-12-09 08:29:26
repjoecourtney,33K,2025-12-09 08:29:34
RepJohnLarson,52K,2025-12-09 08:29:42
CongresswomanRosaDeLauro,33K,2025-12-09 08:29:50
CongresswomanNorton,51K,2025-12-09 08:29:58
SenSarahMcBride,,2025-12-09 08:30:07
aaron.p.bean,7K,2025-12-09 08:30:15
realAnnaPaulina,187K,2025-12-09 08:30:23
RepBrianMast,111K,2025-12-09 08:30:31
RepCarlosGimenez,8.2K,2025-12-09 08:30:40
RepWebster,23K,2025-12-09 08:30:48
RepDarrenSoto,21K,2025-12-09 08:30:58
RepDWS,,2025-12-09 08:31:07
RepWilson,30K,2025-12-09 08:31:15
RepGregSteube,51K,2025-12-09 08:31:23
GusBilirakis,26K,2025-12-09 08:31:31
RepMoskowitz,13K,2025-12-09 08:31:38
RepRutherfordFL,14K,2025-12-09 08:31:46
RepKatCammack,205K,2025-12-09 08:31:54
USRepKathyCastor,21K,2025-12-09 08:32:03
RepLaurelLee,4.4K,2025-12-09 08:32:10
RepLoisFrankel,26K,2025-12-09 08:32:18
RepMariaSalazar,60K,2025-12-09 08:32:26
mdiazbalart,41K,2025-12-09 08:32:33
MaxwellFrostFL,30K,2025-12-09 08:32:41
RepMaxwellFrost,29K,2025-12-09 08:32:49
RepHaridopolos,,2025-12-09 08:32:58
DrNealDunnFL2,26K,2025-12-09 08:33:06
voterandyfine,,2025-12-09 08:33:15
RepFranklin,8.2K,2025-12-09 08:33:23
congresswomanSCM,3.5K,2025-12-09 08:33:31
CongressmanBuchanan,51K,2025-12-09 08:33:39
RepresentativeClyde,9.4K,2025-12-09 08:33:47
RepAustinScott,49K,2025-12-09 08:33:55
RepLoudermilk,19K,2025-12-09 08:34:03
RepBrianJack,916,2025-12-09 08:34:11
RepDavidScott,14K,2025-12-09 08:34:19
CongressmanBuddyCarter,38K,2025-12-09 08:34:28
RepHankJohnson,34K,2025-12-09 08:34:36
replucymcbath,11K,2025-12-09 08:34:44
RepMTGreene,890K,2025-12-09 08:34:51
mike.floor.148,5.2K,2025-12-09 08:35:00
RepMikeCollinsGA,3.3K,2025-12-09 08:35:08
RepNikemaWilliams,18K,2025-12-09 08:35:17
reprichmccormick,,2025-12-09 08:35:26
CongressmanRickAllen,33K,2025-12-09 08:35:34
sanfordbishop,14K,2025-12-09 08:35:42
RepJamesMoylan,,2025-12-09 08:35:50
RepEdCase,4.9K,2025-12-09 08:35:58
RepJillTokuda,3.6K,2025-12-09 08:36:06
RepAshleyHinson,19K,2025-12-09 08:36:14
RepMMM,8.1K,2025-12-09 08:36:22
RepFeenstra,5.6K,2025-12-09 08:36:31
RepZachNunn,19K,2025-12-09 08:36:40
RepRussFulcher,9.9K,2025-12-09 08:36:48
RepChuyGarcia,31K,2025-12-09 08:36:55
RepBillFoster,,2025-12-09 08:48:21
CongressmanBradSchneider,,2025-12-09 08:48:30
RepSchneider,,2025-12-09 08:59:22
OfficialRepDannyDavis,,2025-12-09 08:59:28
